Stock Symbol,Stock URL
RELIANCE,https://www.screener.in/company/RELIANCE/consolidated/
TCS,https://www.screener.in/company/TCS/consolidated/
HDFCBANK,https://www.screener.in/company/HDFCBANK/consolidated/
BHARTIARTL,https://www.screener.in/company/BHARTIARTL/consolidated/
ICICIBANK,https://www.screener.in/company/ICICIBANK/consolidated/
INFY,https://www.screener.in/company/INFY/consolidated/
SBIN,https://www.screener.in/company/SBIN/consolidated/
LICI,https://www.screener.in/company/LICI/consolidated/
HINDUNILVR,https://www.screener.in/company/HINDUNILVR/consolidated/
ITC,https://www.screener.in/company/ITC/consolidated/
LTIM,https://www.screener.in/company/LTIM/consolidated/
HCLTECH,https://www.screener.in/company/HCLTECH/consolidated/
BAJFINANCE,https://www.screener.in/company/BAJFINANCE/consolidated/
SUNPHARMA,https://www.screener.in/company/SUNPHARMA/consolidated/
NTPC,https://www.screener.in/company/NTPC/consolidated/
MARUTI,https://www.screener.in/company/MARUTI/consolidated/
AXISBANK,https://www.screener.in/company/AXISBANK/consolidated/
ONGC,https://www.screener.in/company/ONGC/consolidated/
MARUTI,https://www.screener.in/company/MARUTI/consolidated/
KOTAKBANK,https://www.screener.in/company/KOTAKBANK/consolidated/
TATAMOTORS,https://www.screener.in/company/TATAMOTORS/consolidated/
ADANIENT,https://www.screener.in/company/ADANIENT/consolidated/
ULTRACEMCO,https://www.screener.in/company/ULTRACEMCO/consolidated/
POWERGRID,https://www.screener.in/company/POWERGRID/consolidated/
515147,https://www.screener.in/company/515147/consolidated/
TITAN,https://www.screener.in/company/TITAN/consolidated/
ADANIPORTS,https://www.screener.in/company/ADANIPORTS/consolidated/
DMART,https://www.screener.in/company/DMART/consolidated/
COALINDIA,https://www.screener.in/company/COALINDIA/consolidated/
WIPRO,https://www.screener.in/company/WIPRO/consolidated/
BAJAJ-AUTO,https://www.screener.in/company/BAJAJ-AUTO/consolidated/
ASIANPAINT,https://www.screener.in/company/ASIANPAINT/consolidated/
BAJAJFINSV,https://www.screener.in/company/BAJAJFINSV/consolidated/
