Stock Symbol,Stock URL
AFFLE,https://www.screener.in/company/AFFLE/consolidated/
526433,https://www.screener.in/company/526433/consolidated/
BAJFINANCE,https://www.screener.in/company/BAJFINANCE/consolidated/
BRITANNIA,https://www.screener.in/company/BRITANNIA/consolidated/
CDSL,https://www.screener.in/company/CDSL/consolidated/
DEEPAKNTR,https://www.screener.in/company/DEEPAKNTR/consolidated/
DMART,https://www.screener.in/company/DMART/consolidated/
HAPPSTMNDS,https://www.screener.in/company/HAPPSTMNDS/
HNDFDS,https://www.screener.in/company/HNDFDS/consolidated/
ICICIBANK,https://www.screener.in/company/ICICIBANK/consolidated/
JUBLFOOD,https://www.screener.in/company/JUBLFOOD/consolidated/
KAYNES,https://www.screener.in/company/KAYNES/
KPITTECH,https://www.screener.in/company/KPITTECH/consolidated/
LTTS,https://www.screener.in/company/LTTS/
MOSCHIP,https://www.screener.in/company/532407/consolidated/
MUTHOOTFIN,https://www.screener.in/company/MUTHOOTFIN/
NESTLEIND,https://www.screener.in/company/NESTLEIND/
PIIND,https://www.screener.in/company/PIIND/consolidated/
POLYCAB,https://www.screener.in/company/POLYCAB/consolidated/
RELAXO,https://www.screener.in/company/RELAXO/
SPELS,https://www.screener.in/company/SPICELEC/
TATACONSUM,https://www.screener.in/company/TATACONSUM/consolidated/
UNITDSPR,https://www.screener.in/company/UNITDSPR/consolidated/
UNOMINDA,https://www.screener.in/company/UNOMINDA/consolidated/
