Stock Symbol,Stock URL
BANKBARODA,https://www.screener.in/company/BANKBARODA/consolidated/
BANKINDIA,https://www.screener.in/company/BANKINDIA/consolidated/
BDL,https://www.screener.in/company/BDL/
BEL,https://www.screener.in/company/BEL/consolidated/
BHEL,https://www.screener.in/company/BHEL/consolidated/
BPCL,https://www.screener.in/company/BPCL/consolidated/
CANBK,https://www.screener.in/company/CANBK/consolidated/
CENTRALBK,https://www.screener.in/company/CENTRALBK/consolidated/
COALINDIA,https://www.screener.in/company/COALINDIA/consolidated/
COCHINSHIP,https://www.screener.in/company/COCHINSHIP/
CONCOR,https://www.screener.in/company/CONCOR/consolidated/
ENGINERSIN,https://www.screener.in/company/ENGINERSIN/consolidated/
GAIL,https://www.screener.in/company/GAIL/consolidated/
GICRE,https://www.screener.in/company/GICRE/consolidated/
GUJGASLTD,https://www.screener.in/company/GUJGASLTD/
HAL,https://www.screener.in/company/HAL/
HINDCOPPER,https://www.screener.in/company/HINDCOPPER/
HINDPETRO,https://www.screener.in/company/HINDPETRO/consolidated/
HUDCO,https://www.screener.in/company/HUDCO/consolidated/
INDIANB,https://www.screener.in/company/INDIANB/consolidated/
IOB,https://www.screener.in/company/IOB/
IOC,https://www.screener.in/company/IOC/consolidated/
IRCON,https://www.screener.in/company/IRCON/consolidated/
IRCTC,https://www.screener.in/company/IRCTC/
IRFC,https://www.screener.in/company/IRFC/
ITI,https://www.screener.in/company/ITI/
KIOCL,https://www.screener.in/company/KIOCL/
LICI,https://www.screener.in/company/LICI/consolidated/
MAHABANK,https://www.screener.in/company/MAHABANK/consolidated/
MAZDOCK,https://www.screener.in/company/MAZDOCK/consolidated/
MIDHANI,https://www.screener.in/company/MIDHANI/
MMTC,https://www.screener.in/company/MMTC/consolidated/
MRPL,https://www.screener.in/company/MRPL/consolidated/
NATIONALUM,https://www.screener.in/company/NATIONALUM/
NBCC,https://www.screener.in/company/NBCC/consolidated/
NHPC,https://www.screener.in/company/NHPC/consolidated/
NIACL,https://www.screener.in/company/NIACL/consolidated/
NLCINDIA,https://www.screener.in/company/NLCINDIA/consolidated/
NMDC,https://www.screener.in/company/NMDC/consolidated/
NTPC,https://www.screener.in/company/NTPC/consolidated/
OIL,https://www.screener.in/company/OIL/consolidated/
ONGC,https://www.screener.in/company/ONGC/consolidated/
PFC,https://www.screener.in/company/PFC/consolidated/
PNB,https://www.screener.in/company/PNBHOUSING/
POWERGRID,https://www.screener.in/company/POWERGRID/consolidated/
PSB,https://www.screener.in/company/PSB/
RCF,https://www.screener.in/company/RCF/consolidated/
RECLTD,https://www.screener.in/company/RECLTD/consolidated/
RITES,https://www.screener.in/company/RITES/consolidated/
RVNL,https://www.screener.in/company/RVNL/
SAIL,https://www.screener.in/company/SAIL/consolidated/
SBIN,https://www.screener.in/company/SBIN/consolidated/
SCI,https://www.screener.in/company/SCI/
SJVN,https://www.screener.in/company/SJVN/consolidated/
UCOBANK,https://www.screener.in/company/UCOBANK/
UNIONBANK,https://www.screener.in/company/UNIONBANK/consolidated/
