Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales,526433,,41.64,47.70,47.62,54.71,50.92,63.42,54.14,51.94,50.95,50.39,55.72,44.59,52.62
Expenses,526433,,36.70,39.98,42.30,51.69,45.54,57.43,48.94,49.74,48.58,48.46,55.37,45.53,48.43
Operating Profit,526433,,4.94,7.72,5.32,3.02,5.38,5.99,5.20,2.20,2.37,1.93,0.35,-0.94,4.19
OPM %,526433,,11.86%,16.18%,11.17%,5.52%,10.57%,9.44%,9.60%,4.24%,4.65%,3.83%,0.63%,-2.11%,7.96%
Other Income,526433,,0.50,0.35,3.89,2.19,2.43,1.58,2.74,1.55,1.98,0.42,1.14,3.31,3.20
Interest,526433,,0.91,1.06,1.14,2.48,1.40,1.65,1.71,2.32,2.05,2.72,2.51,2.65,3.01
Depreciation,526433,,0.83,1.09,1.13,1.39,1.72,1.99,2.25,2.66,2.76,2.89,2.89,2.72,2.60
Profit before tax,526433,,3.70,5.92,6.94,1.34,4.69,3.93,3.98,-1.23,-0.46,-3.26,-3.91,-3.00,1.78
Tax %,526433,,20.27%,31.25%,29.83%,5.97%,30.49%,38.68%,72.11%,-130.89%,-34.78%,-16.26%,-81.84%,13.33%,-60.11%
Net Profit,526433,,2.96,4.06,4.86,1.27,3.26,2.40,1.11,0.37,-0.30,-2.73,-0.72,-3.39,2.85
EPS in Rs,526433,,2.99,3.77,4.30,1.54,3.35,2.84,2.25,0.25,0.36,-1.59,-0.19,-2.59,2.83
Raw PDF,526433,,,,,,,,,,,,,,
Sales,532407,,33.92,38.02,38.29,37.41,41.67,49.15,53.70,53.83,57.01,71.85,89.63,75.42,80.35
Expenses,532407,,29.13,32.27,32.09,31.68,35.58,43.90,46.18,46.38,49.28,61.63,80.83,68.05,71.49
Operating Profit,532407,,4.79,5.75,6.20,5.73,6.09,5.25,7.52,7.45,7.73,10.22,8.80,7.37,8.86
OPM %,532407,,14.12%,15.12%,16.19%,15.32%,14.61%,10.68%,14.00%,13.84%,13.56%,14.22%,9.82%,9.77%,11.03%
Other Income,532407,,2.15,1.22,1.29,0.57,0.95,3.24,0.62,0.16,1.66,0.84,0.41,0.58,1.50
Interest,532407,,2.19,2.20,2.11,2.10,2.04,2.45,1.71,1.52,1.55,1.53,1.48,1.46,1.62
Depreciation,532407,,3.03,3.16,3.26,3.19,3.45,4.74,4.57,4.57,4.53,5.57,5.26,4.90,4.63
Profit before tax,532407,,1.72,1.61,2.12,1.01,1.55,1.30,1.86,1.52,3.31,3.96,2.47,1.59,4.11
Tax %,532407,,-0.00%,0.62%,-0.00%,-0.00%,-0.00%,4.62%,-0.00%,-0.00%,3.02%,8.59%,11.34%,45.28%,2.92%
Net Profit,532407,,1.72,1.60,2.12,1.01,1.55,1.24,1.86,1.52,3.21,3.63,2.19,0.87,3.98
EPS in Rs,532407,,0.11,0.10,0.13,0.06,0.10,0.08,0.11,0.09,0.18,0.20,0.12,0.05,0.21
Raw PDF,532407,,,,,,,,,,,,,,
Sales,544021,,,,,,157,178,176,232,220,236,204,222,197
Expenses,544021,,,,,,135,148,143,197,186,199,207,200,181
Operating Profit,544021,,,,,,22,29,32,35,34,36,-3,22,15
OPM %,544021,,,,,,14%,16%,18%,15%,15%,15%,-2%,10%,8%
Other Income,544021,,,,,,10,10,10,11,13,13,29,13,19
Interest,544021,,,,,,0,0,0,0,0,0,1,1,0
Depreciation,544021,,,,,,4,5,5,5,5,5,6,11,7
Profit before tax,544021,,,,,,27,34,38,41,42,43,19,24,27
Tax %,544021,,,,,,22%,25%,25%,23%,23%,24%,21%,18%,22%
Net Profit,544021,,,,,,21,26,28,32,32,33,15,19,21
EPS in Rs,544021,,,,,,5.28,6.38,7.06,7.82,7.96,8.10,3.77,4.77,5.21
Raw PDF,544021,,,,,,,,,,,,,,
Sales,AARTIDRUGS,,580,580,635,694,622,688,664,742,661,642,606,620,555
Expenses,AARTIDRUGS,,500,506,545,608,555,613,593,649,577,565,536,534,490
Operating Profit,AARTIDRUGS,,80,74,90,86,67,74,71,94,84,76,70,86,65
OPM %,AARTIDRUGS,,14%,13%,14%,12%,11%,11%,11%,13%,13%,12%,12%,14%,12%
Other Income,AARTIDRUGS,,2,0,7,3,0,0,1,1,1,1,2,1,1
Interest,AARTIDRUGS,,4,5,5,6,7,8,9,9,9,8,8,9,9
Depreciation,AARTIDRUGS,,12,12,13,13,13,13,13,12,13,13,13,14,13
Profit before tax,AARTIDRUGS,,65,56,79,70,48,53,50,73,64,56,52,64,44
Tax %,AARTIDRUGS,,25%,24%,26%,22%,28%,27%,26%,23%,24%,30%,29%,26%,24%
Net Profit,AARTIDRUGS,,49,43,58,55,35,39,37,56,48,40,37,47,33
EPS in Rs,AARTIDRUGS,,5.27,4.60,6.29,5.98,3.76,4.18,3.96,6.06,5.17,4.31,3.99,5.15,3.62
Raw PDF,AARTIDRUGS,,,,,,,,,,,,,,
Sales,AARTIIND,,1317,1256,2076,1756,1610,1685,1668,1656,1414,1454,1732,1773,1855
Expenses,AARTIIND,,1003,1001,1186,1417,1326,1418,1379,1403,1214,1221,1473,1490,1550
Operating Profit,AARTIIND,,314,255,890,339,284,267,289,253,200,233,259,283,305
OPM %,AARTIIND,,24%,20%,43%,19%,18%,16%,17%,15%,14%,16%,15%,16%,16%
Other Income,AARTIIND,,0,1,0,0,0,0,0,0,0,0,8,0,6
Interest,AARTIIND,,38,14,24,31,45,44,47,33,40,58,54,59,64
Depreciation,AARTIIND,,69,57,57,77,72,73,82,84,89,93,97,98,102
Profit before tax,AARTIIND,,207,184,809,231,167,150,160,136,71,82,116,126,145
Tax %,AARTIIND,,20%,18%,10%,16%,19%,17%,15%,-10%,1%,-11%,-7%,-5%,6%
Net Profit,AARTIIND,,165,150,725,194,136,124,137,149,70,91,124,132,137
EPS in Rs,AARTIIND,,4.55,4.14,20.01,5.34,3.75,3.42,3.77,4.11,1.93,2.51,3.42,3.64,3.78
Raw PDF,AARTIIND,,,,,,,,,,,,,,
Sales,AARTIPHARM,,,,,460,457,531,472,485,458,440,449,506,555
Expenses,AARTIPHARM,,,,,385,371,441,385,405,373,352,353,388,459
Operating Profit,AARTIPHARM,,,,,76,86,90,86,80,85,88,96,118,96
OPM %,AARTIPHARM,,,,,16%,19%,17%,18%,16%,19%,20%,21%,23%,17%
Other Income,AARTIPHARM,,,,,3,0,1,0,1,0,1,1,2,2
Interest,AARTIPHARM,,,,,5,4,6,5,6,4,4,4,5,5
Depreciation,AARTIPHARM,,,,,14,14,17,16,16,17,18,19,19,20
Profit before tax,AARTIPHARM,,,,,59,68,69,65,59,64,67,74,96,74
Tax %,AARTIPHARM,,,,,18%,24%,26%,27%,27%,26%,23%,29%,32%,25%
Net Profit,AARTIPHARM,,,,,49,52,51,48,43,47,52,53,65,55
EPS in Rs,AARTIPHARM,,,,,,,,5.26,4.73,5.20,5.72,5.82,7.20,6.12
Raw PDF,AARTIPHARM,,,,,,,,,,,,,,
Sales,AARTISURF,,149.15,139.82,135.15,151.40,158.13,151.77,133.55,157.84,148.70,143.86,138.75,158.55,143.41
Expenses,AARTISURF,,137.52,132.24,126.39,147.22,146.63,143.00,119.98,143.94,133.90,127.60,122.02,144.21,133.79
