Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Sales,526433,203,,,,,,,175,,,167,,,,164,,,,63,,,81,,,83,,,88,,,92,,,137,,,192,,,220,,,202
Expenses,526433,198,,,,,,,157,,,151,,,,147,,,,69,,,75,,,80,,,83,,,90,,,120,,,170,,,200,,,196
Operating Profit,526433,6,,,,,,,18,,,16,,,,17,,,,-6,,,6,,,2,,,5,,,2,,,17,,,21,,,21,,,6
OPM %,526433,3%,,,,,,,10%,,,9%,,,,10%,,,,-10%,,,8%,,,3%,,,6%,,,3%,,,12%,,,11%,,,9%,,,3%
Other Income,526433,8,,,,,,,2,,,2,,,,0,,,,18,,,1,,,2,,,5,,,4,,,3,,,7,,,6,,,5
Interest,526433,11,,,,,,,4,,,4,,,,5,,,,3,,,1,,,0,,,1,,,2,,,3,,,6,,,7,,,10
Depreciation,526433,11,,,,,,,1,,,1,,,,2,,,,2,,,2,,,1,,,1,,,3,,,4,,,4,,,9,,,11
Profit before tax,526433,-8,,,,,,,15,,,12,,,,10,,,,7,,,4,,,3,,,9,,,2,,,14,,,18,,,11,,,-11
Tax %,526433,,,,,,,,27%,,,34%,,,,48%,,,,16%,,,70%,,,127%,,,22%,,,63%,,,37%,,,22%,,,37%,,,-33%
Net Profit,526433,-4,,,,,,,12,,,8,,,,5,,,,6,,,1,,,-1,,,7,,,1,,,9,,,14,,,7,,,-7
EPS in Rs,526433,-1.54,,,,,,,10.68,,,7.18,,,,4.58,,,,5.51,,,1.22,,,-0.69,,,6.33,,,1.13,,,7.74,,,13.28,,,8.68,,,-3.64
Dividend Payout %,526433,,,,,,,,11%,,,18%,,,,20%,,,,64%,,,187%,,,-329%,,,43%,,,101%,,,82%,,,58%,,,76%,,,-27%
