Compounded Sales Growth,Stockname,Compounded Sales Growth.1
10 Years,526433,2%
5 Years,526433,18%
3 Years,526433,14%
TTM,526433,-8%
10 Years,532407,44%
5 Years,532407,31%
3 Years,532407,41%
TTM,532407,48%
10 Years,544021,%
5 Years,544021,3%
3 Years,544021,14%
TTM,544021,6%
10 Years,AARTIDRUGS,%
5 Years,AARTIDRUGS,10%
3 Years,AARTIDRUGS,5%
TTM,AARTIDRUGS,-12%
10 Years,AARTIIND,9%
5 Years,AARTIIND,9%
3 Years,AARTIIND,12%
TTM,AARTIIND,6%
10 Years,AARTIPHARM,%
5 Years,AARTIPHARM,%
3 Years,AARTIPHARM,%
TTM,AARTIPHARM,0%
10 Years,AARTISURF,%
5 Years,AARTISURF,%
3 Years,AARTISURF,8%
TTM,AARTISURF,-1%
10 Years,ABB,3%
5 Years,ABB,9%
3 Years,ABB,22%
TTM,ABB,21%
10 Years,ACC,6%
5 Years,ACC,6%
3 Years,ACC,13%
TTM,ACC,8%
10 Years,ADANIENT,6%
5 Years,ADANIENT,19%
3 Years,ADANIENT,35%
TTM,ADANIENT,-12%
10 Years,AFFLE,%
5 Years,AFFLE,49%
3 Years,AFFLE,53%
TTM,AFFLE,31%
10 Years,ALKYLAMINE,12%
5 Years,ALKYLAMINE,11%
3 Years,ALKYLAMINE,5%
TTM,ALKYLAMINE,-12%
10 Years,ANGELONE,%
5 Years,ANGELONE,41%
3 Years,ANGELONE,49%
TTM,ANGELONE,56%
10 Years,ARE&M,%
5 Years,ARE&M,12%
3 Years,ARE&M,18%
TTM,ARE&M,15%
10 Years,ASAHIINDIA,7%
5 Years,ASAHIINDIA,8%
3 Years,ASAHIINDIA,21%
TTM,ASAHIINDIA,5%
10 Years,ASHOKLEY,14%
5 Years,ASHOKLEY,7%
3 Years,ASHOKLEY,33%
TTM,ASHOKLEY,9%
10 Years,ASIANPAINT,11%
5 Years,ASIANPAINT,13%
3 Years,ASIANPAINT,18%
TTM,ASIANPAINT,1%
10 Years,ASTRAL,18%
5 Years,ASTRAL,18%
3 Years,ASTRAL,21%
TTM,ASTRAL,10%
10 Years,AXISBANK,14%
5 Years,AXISBANK,15%
3 Years,AXISBANK,21%
TTM,AXISBANK,25%
10 Years,BAJAJ-AUTO,8%
5 Years,BAJAJ-AUTO,8%
3 Years,BAJAJ-AUTO,17%
TTM,BAJAJ-AUTO,20%
10 Years,BAJAJELEC,%
5 Years,BAJAJELEC,-7%
3 Years,BAJAJELEC,0%
TTM,BAJAJELEC,-5%
10 Years,BAJAJFINSV,34%
5 Years,BAJAJFINSV,21%
3 Years,BAJAJFINSV,22%
TTM,BAJAJFINSV,33%
10 Years,BAJFINANCE,%
5 Years,BAJFINANCE,24%
3 Years,BAJFINANCE,27%
TTM,BAJFINANCE,31%
10 Years,BALAMINES,10%
5 Years,BALAMINES,12%
3 Years,BALAMINES,8%
TTM,BALAMINES,-27%
10 Years,BATAINDIA,5%
5 Years,BATAINDIA,3%
3 Years,BATAINDIA,27%
TTM,BATAINDIA,0%
10 Years,BEL,12%
5 Years,BEL,11%
3 Years,BEL,13%
TTM,BEL,16%
10 Years,BERGEPAINT,12%
5 Years,BERGEPAINT,13%
3 Years,BERGEPAINT,18%
TTM,BERGEPAINT,4%
10 Years,BHARTIARTL,6%
5 Years,BHARTIARTL,13%
3 Years,BHARTIARTL,14%
TTM,BHARTIARTL,5%
10 Years,BOROLTD,%
5 Years,BOROLTD,21%
3 Years,BOROLTD,18%
TTM,BOROLTD,9%
10 Years,BRITANNIA,9%
5 Years,BRITANNIA,9%
3 Years,BRITANNIA,8%
TTM,BRITANNIA,2%
10 Years,BSE,13%
5 Years,BSE,20%
3 Years,BSE,36%
TTM,BSE,102%
10 Years,CAMS,%
5 Years,CAMS,10%
3 Years,CAMS,17%
TTM,CAMS,21%
10 Years,CAMPUS,%
5 Years,CAMPUS,261%
3 Years,CAMPUS,26%
TTM,CAMPUS,68%
10 Years,CDSL,25%
5 Years,CDSL,33%
3 Years,CDSL,33%
TTM,CDSL,63%
10 Years,CENTUM,10%
5 Years,CENTUM,3%
3 Years,CENTUM,10%
TTM,CENTUM,13%
10 Years,CGPOWER,-5%
5 Years,CGPOWER,0%
3 Years,CGPOWER,40%
TTM,CGPOWER,16%
10 Years,COCHINSHIP,%
5 Years,COCHINSHIP,5%
3 Years,COCHINSHIP,11%
TTM,COCHINSHIP,72%
10 Years,COFORGE,15%
5 Years,COFORGE,20%
3 Years,COFORGE,25%
TTM,COFORGE,11%
10 Years,CONCOR,5%
5 Years,CONCOR,4%
3 Years,CONCOR,10%
TTM,CONCOR,9%
10 Years,CYIENT,12%
5 Years,CYIENT,9%
3 Years,CYIENT,20%
TTM,CYIENT,11%
10 Years,DABUR,6%
5 Years,DABUR,8%
3 Years,DABUR,9%
TTM,DABUR,7%
10 Years,DEEPAKNTR,%
5 Years,DEEPAKNTR,23%
3 Years,DEEPAKNTR,21%
TTM,DEEPAKNTR,5%
10 Years,DIVISLAB,12%
5 Years,DIVISLAB,10%
3 Years,DIVISLAB,4%
TTM,DIVISLAB,12%
10 Years,DIXON,32%
5 Years,DIXON,43%
3 Years,DIXON,40%
TTM,DIXON,67%
10 Years,DMART,27%
5 Years,DMART,20%
3 Years,DMART,28%
TTM,DMART,19%
10 Years,DRREDDY,8%
5 Years,DRREDDY,13%
3 Years,DRREDDY,14%
TTM,DRREDDY,11%
10 Years,EICHERMOT,9%
5 Years,EICHERMOT,11%
3 Years,EICHERMOT,24%
TTM,EICHERMOT,13%
10 Years,ETHOSLTD,%
5 Years,ETHOSLTD,18%
3 Years,ETHOSLTD,37%
TTM,ETHOSLTD,23%
10 Years,EXIDEIND,7%
5 Years,EXIDEIND,3%
3 Years,EXIDEIND,17%
TTM,EXIDEIND,11%
10 Years,FINEORG,%
5 Years,FINEORG,15%
3 Years,FINEORG,23%
TTM,FINEORG,-25%
10 Years,GMMPFAUDLR,29%
5 Years,GMMPFAUDLR,47%
3 Years,GMMPFAUDLR,51%
TTM,GMMPFAUDLR,-1%
10 Years,GODREJPROP,10%
5 Years,GODREJPROP,2%
3 Years,GODREJPROP,58%
TTM,GODREJPROP,-4%
10 Years,GREENLAM,%
5 Years,GREENLAM,12%
3 Years,GREENLAM,24%
TTM,GREENLAM,16%
10 Years,GREENPANEL,%
5 Years,GREENPANEL,21%
3 Years,GREENPANEL,15%
TTM,GREENPANEL,-12%
10 Years,GRSE,8%
5 Years,GRSE,21%
3 Years,GRSE,47%
TTM,GRSE,41%
10 Years,HAL,%
5 Years,HAL,9%
3 Years,HAL,10%
TTM,HAL,13%
10 Years,HAPPSTMNDS,%
5 Years,HAPPSTMNDS,22%
3 Years,HAPPSTMNDS,28%
TTM,HAPPSTMNDS,14%
10 Years,HAVELLS,9%
5 Years,HAVELLS,13%
3 Years,HAVELLS,21%
TTM,HAVELLS,12%
10 Years,HCLTECH,16%
5 Years,HCLTECH,13%
3 Years,HCLTECH,13%
TTM,HCLTECH,7%
10 Years,HDFCAMC,%
5 Years,HDFCAMC,%
3 Years,HDFCAMC,%
TTM,HDFCAMC,25%
10 Years,HDFCBANK,21%
5 Years,HDFCBANK,22%
3 Years,HDFCBANK,30%
TTM,HDFCBANK,70%
10 Years,HDFCLIFE,19%
5 Years,HDFCLIFE,21%
3 Years,HDFCLIFE,12%
TTM,HDFCLIFE,21%
10 Years,HERITGFOOD,8%
5 Years,HERITGFOOD,9%
3 Years,HERITGFOOD,15%
TTM,HERITGFOOD,17%
10 Years,HEROMOTOCO,4%
5 Years,HEROMOTOCO,2%
3 Years,HEROMOTOCO,7%
TTM,HEROMOTOCO,13%
10 Years,HINDUNILVR,8%
5 Years,HINDUNILVR,10%
3 Years,HINDUNILVR,10%
TTM,HINDUNILVR,1%
10 Years,HLEGLAS,%
5 Years,HLEGLAS,22%
3 Years,HLEGLAS,26%
TTM,HLEGLAS,8%
10 Years,HNDFDS,%
5 Years,HNDFDS,41%
3 Years,HNDFDS,25%
TTM,HNDFDS,15%
10 Years,ICICIBANK,12%
5 Years,ICICIBANK,17%
3 Years,ICICIBANK,21%
TTM,ICICIBANK,27%
10 Years,ICICIGI,17%
5 Years,ICICIGI,13%
3 Years,ICICIGI,19%
TTM,ICICIGI,16%
10 Years,ICICIPRULI,15%
5 Years,ICICIPRULI,17%
3 Years,ICICIPRULI,3%
TTM,ICICIPRULI,23%
10 Years,IDEAFORGE,%
5 Years,IDEAFORGE,%
3 Years,IDEAFORGE,108%
TTM,IDEAFORGE,65%
10 Years,IDFCFIRSTB,%
5 Years,IDFCFIRSTB,20%
3 Years,IDFCFIRSTB,24%
TTM,IDFCFIRSTB,31%
10 Years,INDIGO,%
5 Years,INDIGO,19%
3 Years,INDIGO,68%
TTM,INDIGO,23%
10 Years,INDIGOPNTS,%
5 Years,INDIGOPNTS,%
3 Years,INDIGOPNTS,%
TTM,INDIGOPNTS,17%
10 Years,INFY,12%
5 Years,INFY,13%
3 Years,INFY,15%
TTM,INFY,3%
10 Years,IRCON,12%
5 Years,IRCON,21%
3 Years,IRCON,33%
TTM,IRCON,7%
10 Years,IRCTC,%
5 Years,IRCTC,%
3 Years,IRCTC,%
TTM,IRCTC,21%
10 Years,IREDA,%
5 Years,IREDA,20%
3 Years,IREDA,23%
TTM,IREDA,43%
10 Years,ITC,7%
5 Years,ITC,8%
3 Years,ITC,13%
TTM,ITC,4%
10 Years,JIOFIN,%
5 Years,JIOFIN,%
3 Years,JIOFIN,%
TTM,JIOFIN,4034%
10 Years,JUBLFOOD,13%
5 Years,JUBLFOOD,10%
3 Years,JUBLFOOD,20%
TTM,JUBLFOOD,19%
10 Years,KALYANKJIL,%
5 Years,KALYANKJIL,14%
3 Years,KALYANKJIL,29%
TTM,KALYANKJIL,30%
10 Years,KAYNES,%
5 Years,KAYNES,%
3 Years,KAYNES,62%
TTM,KAYNES,60%
10 Years,KEI,%
5 Years,KEI,14%
3 Years,KEI,25%
TTM,KEI,18%
10 Years,KOTAKBANK,17%
5 Years,KOTAKBANK,14%
3 Years,KOTAKBANK,20%
TTM,KOTAKBANK,29%
10 Years,KPIGREEN,%
5 Years,KPIGREEN,97%
3 Years,KPIGREEN,116%
TTM,KPIGREEN,66%
10 Years,KPITTECH,%
5 Years,KPITTECH,50%
3 Years,KPITTECH,34%
TTM,KPITTECH,36%
10 Years,KSCL,1%
5 Years,KSCL,7%
3 Years,KSCL,4%
TTM,KSCL,8%
10 Years,LALPATHLAB,15%
5 Years,LALPATHLAB,13%
3 Years,LALPATHLAB,12%
TTM,LALPATHLAB,11%
10 Years,LATENTVIEW,23%
5 Years,LATENTVIEW,17%
3 Years,LATENTVIEW,28%
TTM,LATENTVIEW,19%
10 Years,LT,10%
5 Years,LT,10%
3 Years,LT,18%
TTM,LT,17%
10 Years,LTIM,22%
5 Years,LTIM,30%
3 Years,LTIM,42%
TTM,LTIM,5%
10 Years,LTTS,%
5 Years,LTTS,14%
3 Years,LTTS,21%
TTM,LTTS,8%
10 Years,LXCHEM,%
5 Years,LXCHEM,13%
3 Years,LXCHEM,17%
TTM,LXCHEM,3%
10 Years,M&M,7%
5 Years,M&M,6%
3 Years,M&M,23%
TTM,M&M,12%
10 Years,MANKIND,%
5 Years,MANKIND,%
3 Years,MANKIND,18%
TTM,MANKIND,16%
10 Years,MAPMYINDIA,%
5 Years,MAPMYINDIA,23%
3 Years,MAPMYINDIA,36%
TTM,MAPMYINDIA,28%
10 Years,MARICO,7%
5 Years,MARICO,6%
3 Years,MARICO,6%
TTM,MARICO,1%
10 Years,MARUTI,12%
5 Years,MARUTI,11%
3 Years,MARUTI,26%
TTM,MARUTI,17%
10 Years,MAZDOCK,%
5 Years,MAZDOCK,15%
3 Years,MAZDOCK,33%
