Stock Price CAGR,Stockname,Stock Price CAGR.1
10 Years,526433,35%
5 Years,526433,102%
3 Years,526433,77%
1 Year,526433,200%
10 Years,532407,53%
5 Years,532407,81%
3 Years,532407,77%
1 Year,532407,153%
10 Years,544021,%
5 Years,544021,%
3 Years,544021,%
1 Year,544021,%
10 Years,AARTIDRUGS,19%
5 Years,AARTIDRUGS,34%
3 Years,AARTIDRUGS,-7%
1 Year,AARTIDRUGS,-12%
10 Years,AARTIIND,25%
5 Years,AARTIIND,11%
3 Years,AARTIIND,-11%
1 Year,AARTIIND,34%
10 Years,AARTIPHARM,%
5 Years,AARTIPHARM,%
3 Years,AARTIPHARM,%
1 Year,AARTIPHARM,63%
10 Years,AARTISURF,%
5 Years,AARTISURF,%
3 Years,AARTISURF,-23%
1 Year,AARTISURF,6%
10 Years,ABB,24%
5 Years,ABB,46%
3 Years,ABB,65%
1 Year,ABB,85%
10 Years,ACC,4%
5 Years,ACC,8%
3 Years,ACC,0%
1 Year,ACC,21%
10 Years,ADANIENT,33%
5 Years,ADANIENT,87%
3 Years,ADANIENT,29%
1 Year,ADANIENT,21%
10 Years,AFFLE,%
5 Years,AFFLE,58%
3 Years,AFFLE,24%
1 Year,AFFLE,44%
10 Years,ALKYLAMINE,32%
5 Years,ALKYLAMINE,46%
3 Years,ALKYLAMINE,-22%
1 Year,ALKYLAMINE,-14%
10 Years,ANGELONE,%
5 Years,ANGELONE,%
3 Years,ANGELONE,22%
1 Year,ANGELONE,23%
10 Years,ARE&M,10%
5 Years,ARE&M,20%
3 Years,ARE&M,30%
1 Year,ARE&M,149%
10 Years,ASAHIINDIA,22%
5 Years,ASAHIINDIA,27%
3 Years,ASAHIINDIA,23%
1 Year,ASAHIINDIA,28%
10 Years,ASHOKLEY,21%
5 Years,ASHOKLEY,32%
3 Years,ASHOKLEY,27%
1 Year,ASHOKLEY,37%
10 Years,ASIANPAINT,17%
5 Years,ASIANPAINT,14%
3 Years,ASIANPAINT,1%
1 Year,ASIANPAINT,-4%
10 Years,ASTRAL,27%
5 Years,ASTRAL,28%
3 Years,ASTRAL,7%
1 Year,ASTRAL,-3%
10 Years,AXISBANK,11%
