Return on Equity,Stockname,Return on Equity.1
10 Years,526433,7%
5 Years,526433,7%
3 Years,526433,7%
Last Year,526433,-5%
10 Years,532407,%
5 Years,532407,-3%
3 Years,532407,7%
Last Year,532407,5%
10 Years,544021,%
5 Years,544021,14%
3 Years,544021,13%
Last Year,544021,11%
10 Years,AARTIDRUGS,%
5 Years,AARTIDRUGS,20%
3 Years,AARTIDRUGS,16%
Last Year,AARTIDRUGS,14%
10 Years,AARTIIND,18%
5 Years,AARTIIND,16%
3 Years,AARTIIND,16%
Last Year,AARTIIND,8%
10 Years,AARTIPHARM,%
5 Years,AARTIPHARM,%
3 Years,AARTIPHARM,14%
Last Year,AARTIPHARM,13%
10 Years,AARTISURF,%
5 Years,AARTISURF,%
3 Years,AARTISURF,8%
Last Year,AARTISURF,11%
10 Years,ABB,13%
5 Years,ABB,14%
3 Years,ABB,18%
Last Year,ABB,23%
10 Years,ACC,12%
5 Years,ACC,12%
3 Years,ACC,12%
Last Year,ACC,14%
10 Years,ADANIENT,7%
5 Years,ADANIENT,8%
3 Years,ADANIENT,8%
Last Year,ADANIENT,10%
10 Years,AFFLE,%
5 Years,AFFLE,21%
3 Years,AFFLE,19%
Last Year,AFFLE,15%
10 Years,ALKYLAMINE,25%
5 Years,ALKYLAMINE,25%
3 Years,ALKYLAMINE,19%
Last Year,ALKYLAMINE,12%
10 Years,ANGELONE,%
5 Years,ANGELONE,42%
3 Years,ANGELONE,45%
Last Year,ANGELONE,43%
10 Years,ARE&M,%
5 Years,ARE&M,15%
3 Years,ARE&M,14%
Last Year,ARE&M,14%
10 Years,ASAHIINDIA,16%
5 Years,ASAHIINDIA,15%
3 Years,ASAHIINDIA,18%
Last Year,ASAHIINDIA,15%
10 Years,ASHOKLEY,13%
5 Years,ASHOKLEY,10%
3 Years,ASHOKLEY,16%
Last Year,ASHOKLEY,28%
10 Years,ASIANPAINT,28%
5 Years,ASIANPAINT,28%
3 Years,ASIANPAINT,28%
Last Year,ASIANPAINT,31%
10 Years,ASTRAL,19%
5 Years,ASTRAL,20%
3 Years,ASTRAL,19%
Last Year,ASTRAL,18%
10 Years,AXISBANK,10%
5 Years,AXISBANK,11%
3 Years,AXISBANK,14%
Last Year,AXISBANK,18%
10 Years,BAJAJ-AUTO,23%
5 Years,BAJAJ-AUTO,22%
3 Years,BAJAJ-AUTO,22%
Last Year,BAJAJ-AUTO,26%
10 Years,BAJAJELEC,%
