Balance Sheet,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Equity Capital,526433,,,,,,,5.0,,,5.0,,,,5.0,,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,,,10.0,,,10.0,,,10.0,,,12.0,
Reserves,526433,,,,,,,38.0,,,45.0,,,,47.0,,,,46.0,,,48.0,,,45.0,,,46.0,,,45.0,,,47.0,,,56.0,,,61.0,,,97.0,
Borrowings,526433,,,,,,,39.0,,,44.0,,,,43.0,,,,17.0,,,1.0,,,8.0,,,15.0,,,23.0,,,35.0,,,51.0,,,74.0,,,82.0,
Other Liabilities,526433,,,,,,,25.0,,,23.0,,,,23.0,,,,22.0,,,7.0,,,11.0,,,20.0,,,10.0,,,24.0,,,30.0,,,23.0,,,47.0,
Total Liabilities,526433,,,,,,,108.0,,,117.0,,,,118.0,,,,90.0,,,61.0,,,69.0,,,86.0,,,83.0,,,116.0,,,146.0,,,169.0,,,238.0,
Fixed Assets,526433,,,,,,,57.0,,,60.0,,,,57.0,,,,8.0,,,10.0,,,11.0,,,11.0,,,15.0,,,16.0,,,28.0,,,48.0,,,49.0,
CWIP,526433,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,1.0,,,0.0,,,1.0,,,0.0,
Investments,526433,,,,,,,3.0,,,3.0,,,,3.0,,,,3.0,,,15.0,,,23.0,,,19.0,,,13.0,,,17.0,,,24.0,,,27.0,,,28.0,
Other Assets,526433,,,,,,,48.0,,,54.0,,,,57.0,,,,79.0,,,36.0,,,34.0,,,56.0,,,55.0,,,81.0,,,94.0,,,93.0,,,162.0,
Total Assets,526433,,,,,,,108.0,,,117.0,,,,118.0,,,,90.0,,,61.0,,,69.0,,,86.0,,,83.0,,,116.0,,,146.0,,,169.0,,,238.0,
Equity Capital,532407,,,,,,,46.0,,,46.0,,,,9.0,,,,9.0,,,25.0,,,26.0,,,31.0,,,32.0,,,32.0,,,32.0,,,33.0,,,38.0,
Reserves,532407,,,,,,,-44.0,,,-52.0,,,,-22.0,,,,-34.0,,,19.0,,,12.0,,,50.0,,,31.0,,,21.0,,,33.0,,,80.0,,,232.0,
Borrowings,532407,,,,,,,9.0,,,13.0,,,,16.0,,,,26.0,,,32.0,,,55.0,,,44.0,,,62.0,,,63.0,,,68.0,,,72.0,,,69.0,
Other Liabilities,532407,,,,,,,3.0,,,8.0,,,,9.0,,,,10.0,,,11.0,,,33.0,,,59.0,,,36.0,,,37.0,,,29.0,,,30.0,,,44.0,
Total Liabilities,532407,,,,,,,15.0,,,15.0,,,,13.0,,,,11.0,,,87.0,,,126.0,,,184.0,,,161.0,,,154.0,,,162.0,,,215.0,,,382.0,
Fixed Assets,532407,,,,,,,3.0,,,2.0,,,,0.0,,,,0.0,,,32.0,,,48.0,,,105.0,,,96.0,,,91.0,,,94.0,,,110.0,,,245.0,
CWIP,532407,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,14.0,,,10.0,,,2.0,,,3.0,,,0.0,,,0.0,,,0.0,,,0.0,
Investments,532407,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Other Assets,532407,,,,,,,12.0,,,13.0,,,,13.0,,,,11.0,,,40.0,,,67.0,,,77.0,,,61.0,,,62.0,,,68.0,,,105.0,,,138.0,
Total Assets,532407,,,,,,,15.0,,,15.0,,,,13.0,,,,11.0,,,87.0,,,126.0,,,184.0,,,161.0,,,154.0,,,162.0,,,215.0,,,382.0,
Equity Capital,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,40.0,,,40.0,,,40.0,,,40.0,,,40.0,
Reserves,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,,,714.0,,,628.0,,,748.0,,,817.0,,,886.0,
Borrowings,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,14.0,,,0.0,,,12.0,,,8.0,,,21.0,
Other Liabilities,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0,,,172.0,,,195.0,,,188.0,,,239.0,,,238.0,
Total Liabilities,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,940.0,,,863.0,,,988.0,,,1104.0,,,1185.0,
Fixed Assets,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,64.0,,,51.0,,,65.0,,,63.0,,,99.0,
