Cash Flows,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Cash from Operating Activity,526433,,,,,,,21.0,,,0.0,,,,12.0,,,,-42.0,,,28.0,,,0.0,,,2.0,,,-8.0,,,4.0,,,14.0,,,20.0,,,-1.0
Cash from Investing Activity,526433,,,,,,,-15.0,,,0.0,,,,-1.0,,,,62.0,,,-12.0,,,-4.0,,,-1.0,,,5.0,,,-9.0,,,-9.0,,,-25.0,,,-66.0
Cash from Financing Activity,526433,,,,,,,-6.0,,,0.0,,,,-9.0,,,,-17.0,,,-19.0,,,4.0,,,2.0,,,0.0,,,7.0,,,-6.0,,,4.0,,,68.0
Net Cash Flow,526433,,,,,,,0.0,,,0.0,,,,2.0,,,,3.0,,,-3.0,,,0.0,,,3.0,,,-3.0,,,2.0,,,-1.0,,,-1.0,,,1.0
Cash from Operating Activity,532407,,,,,,,-1.0,,,0.0,,,,0.0,,,,0.0,,,-39.0,,,-20.0,,,-21.0,,,-11.0,,,11.0,,,16.0,,,14.0,,,31.0
Cash from Investing Activity,532407,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,-15.0,,,-14.0,,,-7.0,,,-2.0,,,0.0,,,-6.0,,,-18.0,,,-86.0
Cash from Financing Activity,532407,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,56.0,,,34.0,,,29.0,,,13.0,,,-8.0,,,-10.0,,,0.0,,,51.0
Net Cash Flow,532407,,,,,,,-1.0,,,0.0,,,,0.0,,,,0.0,,,1.0,,,0.0,,,2.0,,,0.0,,,3.0,,,1.0,,,-4.0,,,-4.0
Cash from Operating Activity,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,,,54.0,,,100.0,,,11.0,,,-8.0,,,58.0
Cash from Investing Activity,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,-104.0,,,-13.0,,,157.0,,,-139.0,,,12.0,,,19.0
Cash from Financing Activity,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,-39.0,,,-39.0,,,-183.0,,,-1.0,,,-1.0,,,-47.0
Net Cash Flow,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,2.0,,,74.0,,,-129.0,,,2.0,,,29.0
Cash from Operating Activity,AARTIDRUGS,59.0,,21.0,,,,,,,,,,,105.0,,,,133.0,,,175.0,,,70.0,,,143.0,,,251.0,,,155.0,,,70.0,,,134.0,,,359.0
Cash from Investing Activity,AARTIDRUGS,-30.0,,-76.0,,,,,,,,,,,-107.0,,,,-99.0,,,-107.0,,,-74.0,,,-62.0,,,-33.0,,,-72.0,,,-150.0,,,-164.0,,,-224.0
Cash from Financing Activity,AARTIDRUGS,-24.0,,53.0,,,,,,,,,,,1.0,,,,-33.0,,,-68.0,,,4.0,,,-80.0,,,-215.0,,,-81.0,,,92.0,,,17.0,,,-136.0
Net Cash Flow,AARTIDRUGS,5.0,,-3.0,,,,,,,,,,,-1.0,,,,1.0,,,0.0,,,0.0,,,1.0,,,2.0,,,2.0,,,13.0,,,-13.0,,,-1.0
Cash from Operating Activity,AARTIIND,,,,,,,230.0,,,315.0,,,,340.0,,,,574.0,,,470.0,,,335.0,,,736.0,,,1102.0,,,873.0,,,519.0,,,1319.0,,,1204.0
Cash from Investing Activity,AARTIIND,,,,,,,-229.0,,,-291.0,,,,-298.0,,,,-452.0,,,-529.0,,,-610.0,,,-797.0,,,-1124.0,,,-1322.0,,,-1169.0,,,-1330.0,,,-1310.0
Cash from Financing Activity,AARTIIND,,,,,,,1.0,,,-22.0,,,,-23.0,,,,-128.0,,,58.0,,,279.0,,,833.0,,,-535.0,,,614.0,,,412.0,,,38.0,,,35.0
Net Cash Flow,AARTIIND,,,,,,,2.0,,,2.0,,,,19.0,,,,-7.0,,,0.0,,,4.0,,,772.0,,,-557.0,,,165.0,,,-239.0,,,27.0,,,-71.0
Cash from Operating Activity,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-44.0,,,250.0,,,216.0
Cash from Investing Activity,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-139.0,,,-158.0,,,-215.0
Cash from Financing Activity,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,260.0,,,-163.0,,,10.0
Net Cash Flow,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,78.0,,,-71.0,,,12.0
Cash from Operating Activity,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,36.0,,,23.0,,,25.0,,,52.0
Cash from Investing Activity,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,-60.0,,,-23.0,,,-11.0,,,-16.0
Cash from Financing Activity,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.0,,,32.0,,,-6.0,,,-8.0,,,-37.0
Net Cash Flow,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,7.0,,,-5.0,,,6.0,,,-1.0
Cash from Operating Activity,ABB,,,,,,-50.0,,,330.0,,,,479.0,,,,382.0,,,863.0,,,792.0,,,625.0,,,667.0,,,318.0,,,650.0,,,742.0,,,1351.0,
Cash from Investing Activity,ABB,,,,,,-340.0,,,-209.0,,,,-148.0,,,,-76.0,,,-68.0,,,-318.0,,,151.0,,,-398.0,,,443.0,,,-2008.0,,,1826.0,,,-3352.0,
Cash from Financing Activity,ABB,,,,,,211.0,,,119.0,,,,-422.0,,,,42.0,,,-179.0,,,-171.0,,,-794.0,,,-147.0,,,-152.0,,,-127.0,,,-140.0,,,-269.0,
Net Cash Flow,ABB,,,,,,-179.0,,,240.0,,,,-91.0,,,,347.0,,,615.0,,,302.0,,,-17.0,,,123.0,,,609.0,,,-1485.0,,,2428.0,,,-2270.0,
Cash from Operating Activity,ACC,,,,,,1577.0,,,1063.0,,,,1352.0,,,,1457.0,,,1390.0,,,1554.0,,,1118.0,,,2255.0,,,2219.0,,,2835.0,,,,-1235.0,,,2995.0
