Ratios,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Debtor Days,526433,,,,,,,60,,,73,,,,72,,,,182,,,48,,,86,,,112,,,84,,,133,,,108,,,90,,,94
Inventory Days,526433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,73
Days Payable,526433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,96
Cash Conversion Cycle,526433,,,,,,,60,,,73,,,,72,,,,182,,,48,,,86,,,112,,,84,,,133,,,108,,,11,,,71
Working Capital Days,526433,,,,,,,28,,,52,,,,56,,,,259,,,82,,,73,,,61,,,88,,,97,,,82,,,66,,,78
ROCE %,526433,,,,,,,25%,,,18%,,,,16%,,,,13%,,,9%,,,3%,,,13%,,,3%,,,19%,,,22%,,,13%,,,-1%
Debtor Days,532407,,,,,,,176,,,155,,,,51,,,,87,,,150,,,202,,,170,,,103,,,121,,,102,,,134,,,112
Inventory Days,532407,,,,,,,,,,,,,,,,,,,,,259,,,103,,,192,,,79,,,,,,48,,,26,,,12
Days Payable,532407,,,,,,,,,,,,,,,,,,,,,372,,,372,,,836,,,643,,,,,,356,,,325,,,221
Cash Conversion Cycle,532407,,,,,,,176,,,155,,,,51,,,,87,,,37,,,-67,,,-473,,,-461,,,121,,,-207,,,-165,,,-96
Working Capital Days,532407,,,,,,,298,,,166,,,,154,,,,77,,,251,,,185,,,187,,,91,,,85,,,95,,,124,,,101
ROCE %,532407,,,,,,,-60%,,,-76%,,,,-44%,,,,-321%,,,4%,,,-9%,,,-21%,,,-18%,,,-0%,,,12%,,,9%,,,7%
Debtor Days,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,107,,,120,,,106,,,103,,,78
Inventory Days,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,107,,,120,,,106,,,103,,,78
Working Capital Days,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,103,,,55,,,43,,,20,,,29
ROCE %,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22%,,,16%,,,19%,,,17%,,,14%
Debtor Days,AARTIDRUGS,88,,88,,,,,,,,,,,105.0,,,,106,,,91,,,110,,,107,,,99,,,94,,,110,,,116,,,102
Inventory Days,AARTIDRUGS,77,,103,,,,,,,,,,,82.0,,,,86,,,100,,,132,,,86,,,102,,,117,,,115,,,101,,,106
Days Payable,AARTIDRUGS,60,,73,,,,,,,,,,,83.0,,,,90,,,94,,,123,,,85,,,104,,,93,,,103,,,94,,,93
Cash Conversion Cycle,AARTIDRUGS,105,,118,,,,,,,,,,,104.0,,,,103,,,97,,,119,,,109,,,97,,,118,,,123,,,123,,,115
Working Capital Days,AARTIDRUGS,106,,134,,,,,,,,,,,98.0,,,,102,,,97,,,122,,,105,,,87,,,110,,,122,,,128,,,116
ROCE %,AARTIDRUGS,20%,,13%,,,,,,,,,,,,,,,18%,,,18%,,,17%,,,17%,,,21%,,,34%,,,21%,,,15%,,,15%
Debtor Days,AARTIIND,,,,,,,75,,,62,,,,55,,,,64,,,61,,,63,,,68,,,66,,,64,,,65,,,52,,,47
Inventory Days,AARTIIND,,,,,,,150,,,147,,,,123,,,,108,,,136,,,144,,,152,,,174,,,190,,,143,,,115,,,122
Days Payable,AARTIIND,,,,,,,74,,,90,,,,55,,,,67,,,71,,,69,,,55,,,72,,,117,,,53,,,24,,,55
Cash Conversion Cycle,AARTIIND,,,,,,,152,,,119,,,,123,,,,105,,,125,,,138,,,165,,,168,,,137,,,155,,,143,,,114
Working Capital Days,AARTIIND,,,,,,,120,,,99,,,,91,,,,96,,,93,,,103,,,99,,,93,,,63,,,120,,,95,,,82
ROCE %,AARTIIND,,,,,,,20%,,,18%,,,,19%,,,,20%,,,19%,,,16%,,,18%,,,15%,,,13%,,,22%,,,10%,,,7%
Debtor Days,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,84,,,102
Inventory Days,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,188,,,230
Days Payable,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,106,,,135
Cash Conversion Cycle,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,166,,,197
Working Capital Days,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,134,,,163
ROCE %,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,,16%,,,17%
Debtor Days,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,43,,,35,,,40,,,43
Inventory Days,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,76,,,60,,,60,,,81
Days Payable,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,81,,,56,,,44,,,55
