Stock,10 Years,5 Years,3 Years,Last Year
526433,7%,7%,7%,-4%
532407,%,-3%,7%,5%
544021,%,14%,13%,11%
AARTIDRUGS,%,20%,16%,14%
AARTIIND,18%,16%,16%,8%
AARTIPHARM,%,%,14%,13%
AARTISURF,%,%,8%,11%
ABB,%,%,%,5%
ACC,12%,12%,12%,14%
ADANIENT,7%,8%,8%,10%
AFFLE,%,21%,19%,15%
ALKYLAMINE,28%,29%,32%,41%
ANGELONE,%,42%,45%,43%
ARE&M,%,15%,14%,15%
ASAHIINDIA,16%,15%,18%,15%
ASHOKLEY,13%,10%,16%,29%
ASIANPAINT,28%,28%,28%,31%
ASTRAL,19%,20%,19%,19%
AXISBANK,11%,11%,14%,20%
BAJAJ-AUTO,23%,22%,22%,26%
BAJAJELEC,%,8%,9%,8%
BAJAJFINSV,14%,14%,14%,15%
BAJFINANCE,%,20%,21%,22%
BALAMINES,23%,22%,22%,13%
BATAINDIA,14%,11%,15%,20%
BEL,20%,22%,23%,26%
BERGEPAINT,23%,23%,22%,24%
BHARTIARTL,9%,12%,11%,15%
BOROLTD,%,9%,10%,9%
BRITANNIA,44%,49%,58%,57%
BSE,10%,9%,12%,15%
CAMPUS,%,18%,22%,29%
CDSL,23%,26%,29%,31%
CGPOWER,%,%,58%,36%
COCHINSHIP,%,14%,12%,17%
CONCOR,11%,9%,11%,11%
CYIENT,17%,16%,18%,19%
DABUR,24%,22%,20%,19%
DEEPAKNTR,%,28%,24%,17%
DIVISLAB,20%,19%,18%,12%
DIXON,24%,24%,23%,25%
DMART,14%,13%,14%,15%
DRREDDY,16%,17%,19%,22%
EICHERMOT,23%,19%,20%,24%
ETHOSLTD,%,10%,12%,11%
FINEORG,%,31%,34%,24%
GMMPFAUDLR,20%,21%,21%,20%
GODREJPROP,5%,4%,6%,8%
GREENLAM,16%,15%,14%,13%
GREENPANEL,%,16%,20%,11%
HAL,%,27%,28%,29%
HAPPSTMNDS,%,30%,26%,21%
HAVELLS,19%,19%,19%,18%
HCLTECH,24%,22%,23%,23%
HDFCAMC,%,%,%,29%
HDFCBANK,18%,18%,19%,22%
HDFCLIFE,16%,13%,11%,11%
HERITGFOOD,14%,8%,13%,14%
HEROMOTOCO,24%,19%,18%,22%
HINDUNILVR,32%,24%,20%,20%
HLEGLAS,%,26%,20%,9%
HNDFDS,%,18%,19%,18%
ICICIBANK,13%,16%,18%,21%
ICICIGI,%,%,%,%
ICICIPRULI,16%,10%,8%,8%
IDEAFORGE,%,%,14%,9%
IDFCFIRSTB,%,3%,8%,11%
INDIGO,%,%,%,%
INDIGOPNTS,%,%,%,18%
INFY,27%,29%,31%,32%
IRCON,13%,13%,15%,17%
IRCTC,%,%,%,40%
IREDA,%,%,11%,13%
ITC,25%,26%,28%,28%
JIOFIN,%,%,%,1%
JUBLFOOD,19%,19%,18%,12%
KALYANKJIL,%,10%,12%,15%
KAYNES,%,%,13%,11%
KEI,%,20%,20%,20%
KOTAKBANK,14%,14%,15%,16%
KPIGREEN,%,31%,35%,30%
KPITTECH,%,23%,27%,31%
LALPATHLAB,23%,21%,20%,20%
LATENTVIEW,%,15%,13%,12%
LT,14%,14%,12%,15%
LTIM,31%,29%,29%,25%
LTTS,%,26%,26%,26%
LXCHEM,%,13%,12%,8%
M&M,13%,12%,17%,18%
MANKIND,%,%,22%,23%
MARICO,37%,37%,37%,39%
MARUTI,13%,11%,12%,18%
MAZDOCK,%,24%,27%,35%
METROBRAND,22%,21%,24%,24%
MOLDTECH,23%,24%,26%,25%
MOLDTKPAC,%,19%,20%,19%
MOTHERSON,12%,9%,9%,12%
MTARTECH,%,%,13%,9%
MUFTI,%,%,22%,19%
MUTHOOTFIN,%,22%,20%,18%
NAUKRI,5%,5%,6%,3%
NAVINFLUOR,17%,17%,14%,10%
NAZARA,%,3%,4%,4%
NEOGEN,13%,11%,9%,6%
NESTLEIND,%,%,%,%
PAGEIND,%,%,%,%
PARAS,%,9%,8%,7%
PERSISTENT,20%,21%,24%,25%
PIDILITIND,24%,22%,21%,23%
PIIND,20%,18%,18%,21%
POLYCAB,19%,21%,21%,24%
PRINCEPIPE,%,%,%,%
RAILTEL,%,12%,11%,12%
RAYMOND,14%,19%,31%,45%
RELAXO,%,%,%,%
RELIANCE,10%,9%,9%,9%
ROSSARI,%,16%,14%,13%
ROUTE,%,19%,17%,18%
RVNL,%,19%,20%,20%
SBICARD,%,%,%,%
SBIN,9%,13%,16%,17%
SIEMENS,%,12%,14%,16%
SONACOMS,%,20%,20%,21%
SPICELEC,-1%,-8%,-13%,-15%
SRF,19%,20%,19%,12%
SUNPHARMA,14%,14%,16%,17%
TATACONSUM,6%,7%,7%,8%
TATAELXSI,%,26%,31%,39%
TATAMOTORS,9%,6%,15%,49%
TATAPOWER,7%,9%,11%,12%
TATATECH,%,19%,22%,22%
TCS,40%,44%,47%,52%
TECHM,18%,17%,16%,9%
TIINDIA,%,22%,24%,18%
TITAGARH,2%,7%,12%,18%
TITAN,26%,27%,30%,33%
TORNTPHARM,23%,21%,21%,24%
TRENT,8%,9%,15%,27%
TVSMOTOR,23%,23%,24%,27%
UBL,11%,9%,9%,10%
UNITDSPR,15%,18%,20%,22%
UNOMINDA,16%,15%,17%,19%
VBL,23%,25%,30%,35%
VINATIORGA,%,%,19%,14%
VOLTAS,11%,8%,6%,4%
WESTLIFE,1%,4%,11%,12%
WIPRO,18%,17%,17%,15%
YASHO,%,%,30%,22%
ZENTEC,%,18%,18%,33%
