Stock,10 Years,5 Years,3 Years,TTM
526433,2%,18%,14%,-9%
532407,44%,31%,41%,48%
544021,%,3%,14%,19%
AARTIDRUGS,%,10%,5%,-7%
AARTIIND,9%,9%,12%,-4%
AARTIPHARM,%,%,%,-5%
AARTISURF,%,%,8%,-2%
ABB,%,%,%,2%
ACC,6%,6%,13%,-10%
ADANIENT,6%,19%,35%,-24%
AFFLE,%,49%,53%,29%
ALKYLAMINE,17%,16%,26%,17%
ANGELONE,%,41%,49%,42%
ARE&M,%,12%,18%,13%
ASAHIINDIA,7%,8%,22%,8%
ASHOKLEY,14%,7%,33%,10%
ASIANPAINT,11%,13%,18%,3%
ASTRAL,18%,18%,21%,9%
AXISBANK,14%,15%,21%,29%
BAJAJ-AUTO,8%,8%,17%,23%
BAJAJELEC,%,-7%,0%,-15%
BAJAJFINSV,34%,21%,22%,34%
BAJFINANCE,%,24%,27%,33%
BALAMINES,10%,12%,8%,-30%
BATAINDIA,5%,3%,27%,1%
BEL,12%,11%,13%,14%
BERGEPAINT,12%,13%,18%,6%
BHARTIARTL,6%,13%,14%,8%
BOROLTD,%,21%,18%,-7%
BRITANNIA,9%,9%,8%,3%
BSE,13%,20%,36%,72%
CAMPUS,%,261%,26%,68%
CDSL,25%,33%,33%,46%
CGPOWER,-5%,0%,40%,15%
COCHINSHIP,%,5%,11%,62%
CONCOR,5%,4%,10%,6%
CYIENT,12%,9%,20%,19%
DABUR,6%,8%,9%,8%
DEEPAKNTR,%,23%,21%,-4%
DIVISLAB,12%,10%,4%,1%
DIXON,32%,43%,40%,45%
DMART,27%,20%,28%,19%
DRREDDY,8%,13%,14%,14%
EICHERMOT,9%,11%,24%,15%
ETHOSLTD,%,18%,37%,27%
FINEORG,%,15%,23%,-30%
GMMPFAUDLR,29%,47%,51%,8%
GODREJPROP,10%,2%,58%,35%
GREENLAM,%,12%,24%,14%
GREENPANEL,%,21%,15%,-12%
HAL,%,9%,10%,13%
HAPPSTMNDS,%,22%,28%,14%
HAVELLS,9%,13%,21%,10%
HCLTECH,16%,13%,13%,8%
HDFCAMC,%,%,%,4%
HDFCBANK,21%,22%,30%,66%
HDFCLIFE,19%,21%,12%,45%
HERITGFOOD,8%,9%,15%,17%
HEROMOTOCO,4%,2%,7%,11%
HINDUNILVR,8%,10%,10%,2%
HLEGLAS,%,22%,26%,4%
HNDFDS,%,41%,25%,6%
ICICIBANK,12%,17%,21%,32%
ICICIGI,%,%,%,%
ICICIPRULI,15%,17%,3%,82%
IDEAFORGE,%,%,108%,69%
IDFCFIRSTB,%,20%,24%,33%
INDIGO,%,19%,68%,27%
INDIGOPNTS,%,%,%,22%
INFY,12%,13%,15%,5%
IRCON,12%,21%,32%,19%
IRCTC,%,%,%,21%
IREDA,%,%,13%,10%
ITC,7%,8%,13%,0%
JIOFIN,%,%,%,4034%
JUBLFOOD,13%,10%,20%,10%
KALYANKJIL,%,14%,29%,32%
KAYNES,%,%,62%,60%
KEI,%,14%,25%,17%
KOTAKBANK,17%,14%,20%,33%
KPIGREEN,%,97%,116%,59%
KPITTECH,%,50%,34%,45%
LALPATHLAB,15%,13%,12%,10%
LATENTVIEW,23%,17%,28%,19%
LT,10%,10%,18%,21%
LTIM,22%,30%,42%,7%
LTTS,%,14%,21%,9%
LXCHEM,%,13%,17%,2%
M&M,7%,6%,23%,15%
MANKIND,%,%,18%,18%
MARICO,7%,6%,6%,-1%
MARUTI,12%,11%,26%,21%
MAZDOCK,%,15%,33%,21%
METROBRAND,13%,14%,43%,11%
MOLDTECH,15%,12%,25%,9%
MOLDTKPAC,%,16%,16%,32%
MOTHERSON,12%,9%,20%,25%
MTARTECH,%,%,33%,1%
MUFTI,%,%,32%,14%
MUTHOOTFIN,%,15%,9%,27%
NAUKRI,16%,17%,31%,8%
NAVINFLUOR,16%,16%,21%,-1%
NAZARA,%,46%,36%,4%
NEOGEN,25%,24%,27%,1%
NESTLEIND,%,%,%,%
PAGEIND,%,%,%,%
PARAS,%,10%,21%,14%
PERSISTENT,19%,24%,33%,18%
PIDILITIND,11%,12%,19%,5%
PIIND,17%,22%,19%,18%
POLYCAB,16%,18%,27%,28%
PRINCEPIPE,%,%,%,%
RAILTEL,%,15%,20%,32%
RAYMOND,7%,7%,38%,10%
RELAXO,%,%,%,%
RELIANCE,8%,10%,25%,3%
ROSSARI,%,29%,37%,11%
ROUTE,%,37%,42%,13%
RVNL,%,17%,12%,8%
SBICARD,%,%,%,%
SBIN,9%,12%,16%,25%
SIEMENS,%,9%,25%,19%
SONACOMS,%,35%,27%,19%
SPICELEC,-4%,-15%,-17%,38%
SRF,13%,13%,16%,-12%
SUNPHARMA,12%,11%,13%,11%
TATACONSUM,7%,16%,9%,10%
TATAELXSI,%,17%,16%,10%
TATAMOTORS,7%,8%,21%,27%
TATAPOWER,6%,16%,23%,12%
TATATECH,%,12%,29%,16%
TCS,11%,10%,14%,7%
TECHM,11%,8%,11%,-2%
TIINDIA,%,24%,41%,13%
TITAGARH,20%,20%,36%,39%
TITAN,17%,21%,33%,26%
TORNTPHARM,10%,7%,10%,12%
TRENT,18%,36%,68%,50%
TVSMOTOR,17%,14%,26%,22%
UBL,7%,5%,24%,8%
UNITDSPR,1%,4%,12%,7%
UNOMINDA,23%,19%,30%,25%
VBL,22%,26%,35%,16%
VINATIORGA,%,%,26%,-9%
VOLTAS,9%,12%,18%,31%
WESTLIFE,12%,11%,34%,5%
WIPRO,8%,9%,13%,-1%
YASHO,%,%,18%,-12%
ZENTEC,25%,37%,100%,101%
