Screener Stock Symbol,Url Segment
BANKBARODA,Consolidated
SBIN,Consolidated
BPCL,Consolidated
MMTC,Consolidated
RCF,Consolidated
BEL,Consolidated
SAIL,Consolidated
NLCINDIA,Consolidated
NATIONALUM,Consolidated
HINDPETRO,Consolidated
BHEL,Consolidated
ITI,Null
MRPL,Consolidated
HINDCOPPER,Consolidated
OIL,Consolidated
POWERGRID,Consolidated
CANBK,Consolidated
UCOBANK,Consolidated
GICRE,Consolidated
UNIONBANK,Consolidated
IRCON,Consolidated
CENTRALBK,Consolidated
MAHABANK,Consolidated
BANKINDIA,Consolidated
COCHINSHIP,Null
PSB,Consolidated
IOB,Null
INDIANB,Consolidated
ONGC,Consolidated
PNB,Consolidated
NTPC,Consolidated
IOC,Consolidated
COALINDIA,Consolidated
LICI,Consolidated
ENGINERSIN,Consolidated
HAL,Null
NMDC,Consolidated
PFC,Consolidated
SJVN,Consolidated
HUDCO,Consolidated
NIACL,Consolidated
GAIL,Consolidated
KIOCL,Null
NHPC,Consolidated
CONCOR,Consolidated
IRFC,Null
MAZDOCK,Consolidated
NBCC,Consolidated
MIDHANI,Null
BDL,Null
RECLTD,Consolidated
IRCTC,Null
RITES,Consolidated
RVNL,Null
GUJGASLTD,Null
SCI,Consolidated
