Screener Stock Symbol,Url Segment
526433,consolidate
532407,consolidated
544021,consolidated
AARTIDRUGS,consolidated
AARTIIND,consolidated
AARTIPHARM,consolidated
AARTISURF,consolidated
ABB,consolidated
ACC,consolidated
ADANIENT,consolidated
AFFLE,consolidated
ALKYLAMINE,consolidated
ANGELONE,consolidated
ARE&M,consolidated
ASAHIINDIA,consolidated
ASHOKLEY,consolidated
ASIANPAINT,consolidated
ASTRAL,consolidated
AXISBANK,consolidated
BAJAJ-AUTO,consolidated
BAJAJELEC,consolidated
BAJAJFINSV,consolidated
BAJFINANCE,consolidated
BALAMINES,consolidated
BATAINDIA,consolidated
BEL,consolidated
BERGEPAINT,consolidated
BHARTIARTL,consolidated
BOROLTD,consolidated
BRITANNIA,consolidated
BSE,consolidated
CAMPUS,consolidated
CDSL,consolidated
CGPOWER,consolidated
COCHINSHIP,consolidated
CONCOR,consolidated
CYIENT,consolidated
DABUR,consolidated
DEEPAKNTR,consolidated
DIVISLAB,consolidated
DIXON,consolidated
DMART,consolidated
DRREDDY,consolidated
EICHERMOT,consolidated
ETHOSLTD,consolidated
FINEORG,consolidated
GMMPFAUDLR,consolidated
GODREJPROP,consolidated
GREENLAM,consolidated
GREENPANEL,consolidated
HAL,consolidated
HAPPSTMNDS,consolidated
HAVELLS,consolidated
HCLTECH,consolidated
HDFCAMC,consolidated
HDFCBANK,consolidated
HDFCLIFE,consolidated
HERITGFOOD,consolidated
HEROMOTOCO,consolidated
HINDUNILVR,consolidated
HLEGLAS,consolidated
HNDFDS,consolidated
ICICIBANK,consolidated
ICICIGI,consolidated
ICICIPRULI,consolidated
IDEAFORGE,consolidated
IDFCFIRSTB,consolidated
INDIGO,consolidated
INDIGOPNTS,consolidated
INFY,consolidated
IRCON,consolidated
IRCTC,consolidated
IREDA,consolidated
ITC,consolidated
JIOFIN,consolidated
JUBLFOOD,consolidated
KALYANKJIL,consolidated
KAYNES,consolidated
KEI,consolidated
KOTAKBANK,consolidated
KPIGREEN,consolidated
KPITTECH,consolidated
LALPATHLAB,consolidated
LATENTVIEW,consolidated
LT,consolidated
LTIM,consolidated
LTTS,consolidated
LXCHEM,consolidated
M&M,consolidated
MANKIND,consolidated
MARICO,consolidated
MARUTI,consolidated
MAZDOCK,consolidated
METROBRAND,consolidated
MOLDTECH,consolidated
MOLDTKPAC,consolidated
MOTHERSON,consolidated
MTARTECH,consolidated
MUFTI,consolidated
MUTHOOTFIN,consolidated
NAUKRI,consolidated
NAVINFLUOR,consolidated
NAZARA,consolidated
NEOGEN,consolidated
NESTLEIND,consolidated
PAGEIND,consolidated
PARAS,consolidated
PERSISTENT,consolidated
PIDILITIND,consolidated
PIIND,consolidated
POLYCAB,consolidated
PRINCEPIPE,consolidated
RAILTEL,consolidated
RAYMOND,consolidated
RELAXO,consolidated
RELIANCE,consolidated
ROSSARI,consolidated
ROUTE,consolidated
RVNL,consolidated
SBICARD,consolidated
SBIN,consolidated
SIEMENS,consolidated
SONACOMS,consolidated
SPICELEC,consolidated
SRF,consolidated
SUNPHARMA,consolidated
TATACONSUM,consolidated
TATAELXSI,consolidated
TATAMOTORS,consolidated
TATAPOWER,consolidated
TATATECH,consolidated
TCS,consolidated
TECHM,consolidated
TIINDIA,consolidated
TITAGARH,consolidated
TITAN,consolidated
TORNTPHARM,consolidated
TRENT,consolidated
TVSMOTOR,consolidated
UBL,consolidated
UNITDSPR,consolidated
UNOMINDA,consolidated
VBL,consolidated
VINATIORGA,consolidated
VOLTAS,consolidated
WESTLIFE,consolidated
WIPRO,consolidated
YASHO,consolidated
ZENTEC,consolidated
